                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                 1.1274,                0.77358,                 1.3282,                0.77784,                0.61149,                0.68088,                 0.3619,                 1.6909,                 1.4255,                 2.2707,                0.00406,                0.00406,                0.00406
                     62,                 1.1901,                 0.7678,                 1.1993,                0.79302,                0.68919,                0.71917,                0.39121,                 1.6745,                 1.3241,                 2.2373,               0.003961,               0.003961,               0.003961
                     63,                 1.0339,                0.80549,                 1.2903,                 0.8552,                0.73826,                0.76996,                0.46919,                 1.4634,                 1.2244,                 1.8742,               0.003862,               0.003862,               0.003862
                     64,                 1.0413,                 0.7266,                 1.1837,                0.89474,                0.74666,                0.79745,                0.49868,                 1.4415,                 1.1239,                 1.8355,               0.003763,               0.003763,               0.003763
                     65,                 1.0999,                0.70932,                 1.2535,                0.88181,                0.74662,                0.80845,                0.50852,                 1.3873,                 1.1124,                 1.7948,               0.003664,               0.003664,               0.003664
                     66,                 1.0413,                0.67047,                 1.1932,                0.87062,                   0.75,                0.81037,                0.50901,                 1.3942,                 1.0761,                 1.8225,               0.003565,               0.003565,               0.003565
                     67,                 1.1556,                0.71761,                 1.1838,                0.90517,                0.76014,                0.81512,                0.51811,                 1.3591,                 1.0551,                 1.7614,               0.003466,               0.003466,               0.003466
                     68,                 1.1825,                0.80306,                 1.3148,                 0.8732,                0.78378,                0.81789,                0.51966,                 1.3487,                 1.0569,                 1.7597,               0.003367,               0.003367,               0.003367
                     69,                 1.0513,                 0.7013,                 1.2465,                0.89741,                0.73311,                0.79578,                0.50065,                 1.4045,                 1.1281,                 1.8051,               0.003268,               0.003268,               0.003268
                     70,                 1.1427,                0.82799,                 1.2495,                0.93635,                0.69582,                0.79385,                0.49932,                 1.3659,                  1.121,                 1.7587,               0.003169,               0.003169,               0.003169
                     71,                 1.0535,                0.66178,                 1.2229,                0.92948,                0.66796,                0.76203,                0.47362,                  1.376,                 1.1692,                 1.7729,                0.00307,                0.00307,                0.00307
                     72,                 1.0878,                0.72302,                 1.2533,                0.88772,                0.67905,                0.75204,                0.45405,                 1.4594,                 1.2044,                 1.8864,               0.002971,               0.002971,               0.002971
                     73,                    1.2,                0.87469,                 1.2996,                0.89468,                0.66008,                0.75156,                 0.4401,                 1.4855,                 1.2005,                 1.9381,               0.002872,               0.002872,               0.002872
                     74,                 1.2118,                0.72254,                  1.211,                0.91421,                0.66216,                0.73864,                0.45277,                 1.4157,                 1.2061,                 1.7972,               0.002773,               0.002773,               0.002773
                     75,                 1.0499,                0.73522,                 1.2613,                0.90998,                  0.625,                0.72658,                0.46641,                 1.4038,                 1.2227,                 1.7636,               0.002674,               0.002674,               0.002674
                     76,                  1.056,                0.82289,                 1.3299,                0.91556,                  0.625,                0.70561,                0.47115,                 1.3722,                 1.2771,                 1.7303,               0.002575,               0.002575,               0.002575
                     77,                0.99589,                0.69101,                 1.2404,                0.94747,                0.64189,                0.73453,                0.48682,                 1.3371,                 1.1878,                 1.7038,               0.002476,               0.002476,               0.002476
                     78,                 1.0156,                0.68013,                 1.2149,                 0.9338,                 0.6723,                0.75522,                0.50428,                 1.3338,                 1.1316,                 1.6936,               0.002377,               0.002377,               0.002377
                     79,                 1.0698,                0.77536,                 1.2865,                0.91066,                0.68872,                0.77991,                0.52104,                 1.3269,                 1.0826,                 1.7185,               0.002278,               0.002278,               0.002278
                     80,                0.96338,                0.68352,                 1.2212,                0.91127,                0.71284,                  0.787,                0.53126,                 1.2991,                 1.0483,                 1.6874,               0.002179,               0.002179,               0.002179
                     81,                0.91007,                0.63588,                 1.2005,                0.90103,                0.70744,                 0.7786,                0.53275,                 1.2855,                 1.0609,                 1.6671,                0.00208,                0.00208,                0.00208
                     82,                 1.0018,                 0.6844,                 1.2313,                0.92662,                0.69932,                0.78269,                0.53917,                 1.2699,                 1.0167,                 1.6517,               0.001981,               0.001981,               0.001981
                     83,                 1.0024,                0.66033,                 1.1638,                0.93297,                0.71284,                0.79895,                0.54702,                 1.2541,                0.96201,                 1.6396,               0.001882,               0.001882,               0.001882
                     84,                0.99816,                0.72616,                 1.3357,                0.92274,                0.72635,                0.80222,                0.54602,                 1.2654,                0.95472,                 1.6437,               0.001783,               0.001783,               0.001783
                     85,                0.96752,                0.61116,                 1.1674,                0.91297,                0.73986,                0.80917,                0.55124,                 1.2684,                0.94744,                 1.6372,               0.001684,               0.001684,               0.001684
                     86,                0.88496,                0.58489,                 1.1867,                0.92722,                0.72973,                 0.8149,                0.55205,                 1.2641,                 0.9375,                 1.6264,               0.001585,               0.001585,               0.001585
                     87,                0.93564,                0.58853,                 1.1245,                0.89027,                0.74008,                0.81916,                0.54873,                 1.2572,                0.94265,                 1.6139,               0.001486,               0.001486,               0.001486
                     88,                 0.9072,                0.63456,                 1.1994,                0.90247,                 0.7503,                0.81946,                0.55016,                 1.2611,                0.94494,                 1.6109,               0.001387,               0.001387,               0.001387
                     89,                0.93475,                0.58353,                 1.1796,                 0.9071,                0.75867,                0.83032,                0.55997,                 1.2563,                 0.9246,                 1.6129,               0.001288,               0.001288,               0.001288
                     90,                 1.0072,                0.56668,                 1.2151,                0.87929,                0.76291,                0.83048,                0.55977,                 1.2504,                 0.9102,                 1.6124,               0.001189,               0.001189,               0.001189
                     91,                0.85388,                0.57386,                 1.1968,                0.90146,                0.76351,                0.82831,                0.54628,                 1.2762,                0.92064,                 1.6463,                0.00109,                0.00109,                0.00109
                     92,                0.76935,                0.51529,                 1.1108,                0.89015,                0.74324,                0.82269,                0.53316,                 1.2964,                0.94675,                 1.6639,               0.000991,               0.000991,               0.000991
                     93,                0.93069,                0.56451,                 1.1755,                0.88799,                0.74994,                0.82293,                0.53359,                  1.297,                0.93709,                 1.6502,               0.000892,               0.000892,               0.000892
                     94,                0.87852,                0.57529,                 1.2638,                0.90297,                0.71622,                0.81809,                0.51856,                 1.3123,                0.94724,                 1.6565,               0.000793,               0.000793,               0.000793
                     95,                0.91386,                0.63956,                 1.3224,                0.88159,                0.75459,                0.83367,                0.53029,                 1.2816,                0.92423,                  1.621,               0.000694,               0.000694,               0.000694
                     96,                0.75267,                0.44207,                 1.0771,                0.88841,                0.75676,                0.83772,                0.53406,                 1.2889,                0.91383,                 1.6221,               0.000595,               0.000595,               0.000595
                     97,                0.81553,                0.53088,                 1.2088,                0.89554,                   0.75,                0.83935,                0.54974,                 1.2689,                0.89475,                 1.6007,               0.000496,               0.000496,               0.000496
                     98,                0.91721,                0.59018,                 1.1913,                0.88068,                0.77303,                0.84304,                0.55843,                 1.2489,                0.87594,                 1.5817,               0.000397,               0.000397,               0.000397
                     99,                0.91705,                0.59479,                 1.1851,                0.88476,                0.77817,                0.84497,                0.56956,                  1.238,                0.86667,                  1.569,               0.000298,               0.000298,               0.000298
